Model,Accuracy,Precision,Recall,F1 Score,Time
Random Forest,0.974685598377282,0.9762557819324442,0.974685598377282,0.975171101888216,1.3492631912231443
XGBoost GPU,0.9750796870472328,0.976914044563326,0.9750796870472328,0.9757426683773992,0.2913084030151367
LightGBM GPU,0.9753346855983772,0.9770075845919118,0.9753346855983772,0.9758980466288396,1.631033420562744
Naive Bayes,0.2756766154737757,0.6311995887636347,0.2756766154737757,0.33765683297441607,0.6192643642425537
KNN,0.9372008113590264,0.9495639600850736,0.9372008113590264,0.942375581440297,79.51250982284546
